main_player,game_id
diggs,178348181
diggs,178353228
diggs,178332992
diggs,178332484
diggs,177656591
diggs,177655014
diggs,177465330
diggs,177027312
diggs,177006333
diggs,177015706
diggs,176888185
diggs,176897603
diggs,176835876
diggs,176737693
diggs,176617521
diggs,176641111
diggs,176629759
diggs,176594234
diggs,176407459
diggs,176416372
bumster,179859292
bumster,179858743
bumster,179735418
bumster,179724782
bumster,179734236
bumster,179723961
bumster,179600974
bumster,179488899
bumster,179487146
bumster,179376223
bumster,179076341
bumster,179095530
bumster,179044553
bumster,179022887
bumster,178360878
bumster,178349468
bumster,178348181
bumster,178353228
bumster,178307595
bumster,177601228
mwaxy,176351798
mwaxy,176351370
mwaxy,176288788
mwaxy,176274643
mwaxy,176274063
mwaxy,176179085
mwaxy,176178735
mwaxy,176212335
mwaxy,176167615
mwaxy,176167442
mwaxy,176176778
mwaxy,176108703
mwaxy,176127263
mwaxy,176132964
mwaxy,176113489
mwaxy,176111411
mwaxy,176101243
mwaxy,176046647
mwaxy,176045823
mwaxy,176043819
loui8sdstk,180141806
loui8sdstk,180131554
loui8sdstk,180130313
loui8sdstk,180089492
loui8sdstk,180085078
loui8sdstk,179949405
loui8sdstk,179951612
loui8sdstk,179941399
loui8sdstk,179950281
loui8sdstk,179909689
loui8sdstk,179909190
loui8sdstk,179888831
loui8sdstk,179901443
loui8sdstk,179881482
loui8sdstk,179900716
loui8sdstk,179900112
loui8sdstk,179859510
loui8sdstk,179838682
loui8sdstk,179857787
loui8sdstk,179729127
smatties,178337735
smatties,178360878
smatties,178349468
smatties,178279785
smatties,178260971
smatties,178152014
smatties,177628756
smatties,177637803
smatties,177571962
smatties,177118769
smatties,176738793
smatties,176738342
smatties,176728050
smatties,176353333
smatties,176342971
smatties,176342513
smatties,176351489
smatties,176340965
smatties,176179085
smatties,176178735
2dmin,156073563
2dmin,156048889
2dmin,156058162
2dmin,156057022
2dmin,156056085
2dmin,155998390
2dmin,156021662
2dmin,155996772
2dmin,155928994
2dmin,155915402
2dmin,155914353
2dmin,155923442
2dmin,155921883
2dmin,155745282
2dmin,155725896
2dmin,155685984
2dmin,155453774
2dmin,155443429
2dmin,155452931
2dmin,155442577
menelaus34,180152084
menelaus34,180131554
menelaus34,180140548
menelaus34,180117114
menelaus34,179879855
menelaus34,179878188
menelaus34,179859510
menelaus34,179859292
menelaus34,179590344
menelaus34,179498850
menelaus34,179488748
menelaus34,179111861
menelaus34,179104913
menelaus34,178905617
menelaus34,178904939
menelaus34,178904166
menelaus34,178893915
menelaus34,178891356
menelaus34,178900471
menelaus34,178890139
dicedstk,180142495
dicedstk,180142016
dicedstk,180131839
dicedstk,180131321
dicedstk,180062744
dicedstk,180081407
dicedstk,180080816
dicedstk,179959555
dicedstk,179949447
dicedstk,179951612
dicedstk,179941399
dicedstk,179738658
dicedstk,179735030
dicedstk,179722825
dicedstk,179732175
dicedstk,179731457
dicedstk,179720524
dicedstk,179667533
dicedstk,179666967
dicedstk,179671742
splunkle,154919170
splunkle,154917662
splunkle,154906892
splunkle,154904871
splunkle,148936442
splunkle,148941991
splunkle,147998659
splunkle,146253750
splunkle,142482402
splunkle,139860244
splunkle,139851898
splunkle,135770310
splunkle,134783892
splunkle,134790239
splunkle,134337839
splunkle,134079905
splunkle,133552283
splunkle,133542813
splunkle,133542080
splunkle,133468986
endgame,179933754
endgame,170736751
endgame,170736380
endgame,170287135
endgame,170277179
endgame,163870945
endgame,160917547
endgame,159026478
endgame,159025626
endgame,152154178
endgame,151994755
endgame,146053466
endgame,146053113
endgame,146062878
endgame,146062455
endgame,146061548
endgame,146050750
endgame,146060106
endgame,146034052
endgame,127492840
skandaras,180142663
skandaras,180132740
skandaras,180141806
skandaras,180131554
skandaras,180140548
skandaras,180130313
skandaras,180089492
skandaras,180062744
skandaras,179951612
skandaras,179941399
skandaras,179950281
skandaras,179909689
skandaras,179909190
skandaras,179888831
skandaras,179901443
skandaras,179881482
skandaras,179900716
skandaras,179900112
skandaras,179859510
skandaras,179859292
bumster,180920131
bumster,180912198
bumster,180847355
bumster,180845184
bumster,180830510
bumster,180765530
bumster,180733177
bumster,180395080
bumster,180389348
bumster,180394421
bumster,180385412
bumster,180207382
bumster,180201290
loui8sdstk,180920131
loui8sdstk,180912198
loui8sdstk,180847355
loui8sdstk,180845184
loui8sdstk,180813532
loui8sdstk,180716826
loui8sdstk,180716186
loui8sdstk,180536729
loui8sdstk,180545120
loui8sdstk,180535606
loui8sdstk,180535304
loui8sdstk,180439027
loui8sdstk,180447510
loui8sdstk,180437951
loui8sdstk,180329674
loui8sdstk,180311659
skandaras,180845184
skandaras,180813532
skandaras,180823015
skandaras,180822584
skandaras,180812044
skandaras,180776296
skandaras,180775625
skandaras,180774789
skandaras,180716826
skandaras,180716186
menelaus34,180912198
menelaus34,180847355
menelaus34,180845184
menelaus34,180776296
menelaus34,180753612
menelaus34,180715449
menelaus34,180714867
menelaus34,180546297
menelaus34,180584809
menelaus34,180583863
menelaus34,180467632
menelaus34,180405973
menelaus34,180395080
menelaus34,180389348
menelaus34,180394421
menelaus34,180392811
menelaus34,180372904
menelaus34,180383404
menelaus34,180368021
menelaus34,180391307
dicedstk,180776296
dicedstk,180775625
dicedstk,180716826
dicedstk,180716186
dicedstk,180715449
dicedstk,180704973
dicedstk,180547102
dicedstk,180546297
dicedstk,180439027
dicedstk,180438890
dicedstk,180378341
dicedstk,180396877
dicedstk,180389348
dicedstk,180393840
dicedstk,180392811
dicedstk,180372904
dicedstk,180372174
dicedstk,180329513
dicedstk,180316114
dicedstk,180324815
bumster,180964278
loui8sdstk,180930734
loui8sdstk,180829058
diggs,181054398
diggs,181052643
diggs,181038353
diggs,181036498
diggs,181013915
bumster,181036498
bumster,181023828
bumster,181013674
loui8sdstk,181016830
loui8sdstk,181038353
loui8sdstk,181036498
loui8sdstk,181013915
smatties,181016830
smatties,181038353
skandaras,181054398
skandaras,181052643
skandaras,181016830
skandaras,181038353
skandaras,181036498
dicedstk,181054398
dicedstk,181052643
dicedstk,181038353
dicedstk,181036498
dicedstk,181023828
dicedstk,181013674
dicedstk,181013187
smatties,181075206
smatties,181084159
smatties,181083640
smatties,181073529
skandaras,181075206
skandaras,181074800
skandaras,181084159
skandaras,181083640
skandaras,181073529
skandaras,181104292
dicedstk,181075206
